a2ps	4.14	Any-to-PostScript filter
ortp	0.24.2	Real-time transport protocol (RTP, RFC3550) library
oscats	0.6	Computerized adaptive testing system
osh	20150115	Two ports of /bin/sh from V6 UNIX (circa 1975)
osm-pbf	v1.3.3	Tools related to PBF (an alternative to XML format)
osm2pgrouting	v2.0.0	Import OSM data into pgRouting database
osm2pgsql	0.88.1	OpenStreetMap data to PostgreSQL converter
osmosis	0.43	Command-line OpenStreetMap data processor
osquery	1.5.3	SQL powered operating system instrumentation and analytics
osslsigncode	1.7.1	Authenticode signing of PE(EXE/SYS/DLL/etc), CAB and MSI files
ossp-uuid	1.6.2	ISO-C API and CLI for generating UUIDs
osxfuse	2.7.6	FUSE for OS X: extend native file handling via 3rd-party file systems
osxutils	v1.8.1	CLI access of Mac-specific information, settings, and metadata
owfs	3.1p0	Monitor and control physical environment using Dallas/Maxim 1-wire system
p0f	3.08b	Versatile passive OS fingerprinting, masquerade detection tool
p11-kit	0.18.4	Library to load and enumerate PKCS# 11 modules
p7zip	9.20.1	7-Zip (high compression file archiver) implementation
pacapt	v2.0.2	Package manager in the style or Arch's pacman
packer	v0.8.6	Tool for creating identical machine images for multiple platforms
pacvim	v1.1.1	Learn vim commands via a game
pakchois	0.4	PKCS #11 wrapper library
pam_yubico	2.19	Yubico pluggable authentication module
pandoc	1.15.0.6	Swiss-army knife of markup format conversion
pandoc-citeproc	0.7.4	Library and executable for using citeproc with pandoc
pango	1.38.0	Framework for layout and rendering of i18n text
pangomm	2.36.0	C++ interface to Pango
pangox-compat	0.0.2	Library for laying out and rendering of text
paperkey	1.3	Extract just secret information out of OpenPGP secret keys
paps	0.6.8	Pango to PostScript converter
paq8px	v69	Data compression archivers
par	1.52	Paragraph reflow for email
par2	0.4	Parchive: Parity Archive Volume Set for data recovery
parallel	20150822	GNU parallel shell command
parrot	6.9.0	Open source virtual machine (for Perl6, et al.)
partio	v1.1.0	Particle library for 3D graphics
pass	1.6.5	Password manager
passenger	5.0.20	Server for Ruby, Python, and Node.js apps via Apache/NGINX
passpie	0.3.2	Manage login credentials from the terminal
pastebinit	1.4.1	Send things to pastebin from the command-line
patchutils	0.3.4	Small collection of programs that operate on patch files
pax-construct	1.5	Tools to setup and develop OSGi projects quickly
pax-runner	1.8.6	Tool to provision OSGi bundles
pazpar2	1.11.3	Metasearching middleware webservice
pbc	0.5.14	Pairing-based cryptography
pbc-sig	0.0.8	Signatures library
pbrt	2.0.342	Physically based rendering
pbzip2	1.1.12	Parallel bzip2
pcal	4.11.0	Generate Postscript calendars without X
pcap_dnsproxy	v0.4.4	Powerful DNS proxy designed to anti DNS spoofing
pce	0.2.2	PC emulator
pcre	8.39	Perl compatible regular expressions library
pcre++	0.9.5	C++ wrapper for the Perl Compatible Regular Expressions
pcre2	10.30	Perl compatible regular expressions library with a new API
pcsc-lite	1.8.14	Middleware to access a smart card using SCard API
pdal	0.9.9	Point data abstraction library
pdf-redact-tools	v0.1	Securely redacting and stripping metadata
pdf-tools	v0.60	Emacs support library for PDF files
pdf2htmlex	v0.13.6	PDF to HTML converter
pdf2json	0.68	PDF to JSON and XML converter
pdf2svg	v0.2.3	PDF converter to SVG
pdfcrack	0.14	PDF files password cracker
pdfgrep	1.3.2	Search PDFs for strings matching a regular expression
pdflib-lite	7.0.5p3	Subset of the functionality of PDFlib 7
pdftohtml	0.40a	PDF to HTML converter (based on xpdf)
pdksh	5.2.14	Public domain version of the Korn shell
pdns	3.4.6	Authoritative nameserver
pdnsd	1.2.9a-par	Proxy DNS server with permanent caching
pdnsrec	3.7.3	Non-authoritative/recursing DNS server
pdsh	2.31	Efficient rsh-like utility, for using hosts in parallel
peco	v0.3.4	Simplistic interactive filtering tool
peervpn	0-041	Peer-to-peer VPN
peg	0.1.15	Program to perform pattern matching on text
peg-markdown	0.4.14	Markdown implementation based on a PEG grammar
pegtl	1.1.0	Parsing Expression Grammar Template Library
perceptualdiff	1.1.1	Perceptual image comparison tool
percona-server	5.6.25-73.1	Drop-in MySQL replacement
percona-toolkit	2.2.14	Percona Toolkit for MySQL
perl	5.22.0	Highly capable, feature-rich programming language
perl-build	1.12	Perl builder
perlmagick	6.89	Objected-oriented Perl interface to ImageMagick
pev	0.70	PE analysis toolkit
pex	1.20140409	Package manager for PostgreSQL
pg_top	3.7.0	Monitor PostgreSQL processes
pgbadger	6.4	Log analyzer for PostgreSQL
pgbouncer	1.5.5	Lightweight connection pooler for PostgreSQL
pgcli	0.19.1	CLI for Postgres with auto-completion and syntax highlighting
pgdbf	0.6.2	Converter of XBase/FoxPro tables to PostgreSQL
pgformatter	v1.4	PostgreSQL syntax beautifier
pgloader	v3.2.0	Data loading tool for PostgreSQL
pgpdump	0.29	PGP packet visualizer
pgpool-ii	3.4.2	PostgreSQL connection pool server
pgrouting	v2.0.0	Provides geospatial routing for PostGIS/PostgreSQL database
pgtap	0.94.0	Unit testing framework for PostgreSQL
pgtune	0.9.3	Tuning wizard for postgresql.conf
phantomjs	2.0.0	Headless WebKit scriptable with a JavaScript API
phash	0.9.6	Perceptual hash library
phoon	04A	Displays current or specified phase of the moon via ASCII art
phoronix-test-suite	5.2.1	Automated testing framework
physfs	2.0.3	Library to provide abstract access to various archives
pianobar	2014.09.28	Command-line player for http://pandora.com
pianod	173	Pandora client with multiple control interfaces
picoc	2.1	C interpreter for scripting
picocom	1.7	Minimal dump-terminal emulation program
picolisp	3.1.6	Minimal Lisp with integrated database
pidcat	2.0.0	Colored logcat script to show entries only for specified app
pidgin	2.10.11	Multi-protocol chat client
pidof	0.1.4	Display the PID number for a given process name
pig	0.15.0	Platform for analyzing large data sets
pigz	2.3.3	Parallel gzip
pike	v7.8.866	Dynamic programming language
pillar	v2.0.1	Manage migrations for Cassandra data stores
pincaster	0.6	Nosql database with a HTTP/JSON interface
pinentry	0.9.5	Passphrase entry dialog utilizing the Assuan protocol
pinentry-mac	v0.9.4	Pinentry for GPG on Mac
pipebench	0.40	Measure the speed of STDIN/STDOUT communication
pipemeter	1.1.3	Shows speed of data moving from input to output
pipes-sh	v1.1.0	Animated pipes terminal screensaver
pit	0.1.0	Project manager from hell (integrates with Git)
pius	v2.1.1	PGP individual UID signer
pixman	0.32.6	Low-level library for pixel manipulation
pixz	1.0.4	Parallel, indexed, xz compressor
pjproject	2.3	C library for multimedia protocols such as SIP, SDP, RTP and more
pk	1.0.2	Field extractor command-line utility
pkcrack	1.2.2	Implementation of an algorithm for breaking the PkZip cipher
pkcs11-helper	1.11	Library to simplify the interaction with PKCS#11
pkg-config	0.29.1	Manage compile and link flags for libraries
pkgdiff	1.6.3	Tool for analyzing changes in software packages (e.g. RPM, DEB, TAR.GZ)
pktanon	1.4.0	Packet trace anonymization
pla	1.2	Tool for building Gantt charts in PNG, EPS, PDF or SVG format
plan9port	20140306	Many Plan 9 programs ported to UNIX-like operating systems
planck	1.6	A command-line ClojureScript REPL for OS X.
plantuml	8029	Draw UML diagrams
platypus	4.9	Create OS X applications from {Perl,Ruby,sh,Python} scripts
plenv	2.1.1	Perl binary manager
plod	1.9	Keep an online journal of what you're working on
plotutils	2.6	GNU tools based on libplot, a multi-format 2-D vector graphics library
plowshare	v2.1.1	Download/upload tool for popular file sharing websites
plplot	5.11.1	Cross-platform software package for creating scientific plots
plustache	v0.3.0	C++ port of Mustache templating system
plzip	1.4	Data compressor
pmccabe	2.6	Calculate McCabe-style cyclomatic complexity for C/C++ code
pmd	5.3.3	Source code analyzer for Java, JavaScript, and more
pmdmini	20120115	Plays music in PC-88/98 PMD chiptune format
pms	0.42	Practical Music Search, an ncurses-based MPD client
png++	0.2.5	C++ wrapper for libpng library
png2ico	2002-12-08	PNG to icon converter
pngcheck	2.3.0	Print info and check PNG, JNG, and MNG files
pngcrush	1.7.86	Optimizer for PNG files
pngnq	1.1	Tool for optimizing PNG images
pngpaste	0.2.1	Paste PNG into files
pngquant	2.5.0	PNG image optimizing utility
poco	1.6.1	POCO C++ Libraries
podiff	1.1	Compare textual information in two PO files
podofo	0.9.3	Library to work with the PDF file format
points2grid	1.3.0	Generate digital elevation models using local griding
polarssl	2.1.0	Cryptographic & SSL/TLS library
polipo	1.1.1	Web caching proxy
polygen	1.0.6-20040628	Generate random sentences according to a given grammar
polyml	5.5.2	Standard ML implementation
ponyc	0.1.7	Object-oriented, actor-model, capabilities-secure programming language
ponysay	3.0.2	Cowsay but with ponies
poppler	0.36.0	PDF rendering library (based on the xpdf-3.0 code base)
popt	1.16	Library like getopt(3) with a number of enhancements
portaudio	v19_20140130	Cross-platform library for audio I/O
portmidi	217	Cross-platform library for real-time MIDI I/O
poster	1.0.0	Create large posters out of PostScript pages
postgis	2.1.7	Adds support for geographic objects to PostgreSQL
postgres-xc	v1.0.3	PostgreSQL cluster based on shared-nothing architecture
postgresql	9.4.4	Object-relational database system
postmark	1.51	File system benchmark from NetApp
potrace	1.12	Convert bitmaps to vector graphics
pound	2.7	Reverse proxy, load balancer and HTTPS front-end for web servers
povray	v3.7.0.0	Persistence Of Vision RAYtracer (POVRAY)
pow	0.5.0	Zero-config Rack server for local apps on OS X
powerman	2.3.20	Control (remotely and in parallel) switched power distribution units
ppl	1.1	Parma Polyhedra Library: numerical abstractions for analysis, verification
ppl011	0.11
ppss	2.97	Shell script to execute commands in parallel
pre-commit	v0.5.3	Framework for managing multi-language pre-commit hooks
predictionio	0.9.2	Source machine learning server
premake	4.3	Premake is a build script generator
prettyping	v1.0.0	Wrapper to colorize and simplify ping's output
primesieve	5.4.2	Optimized sieve of Eratosthenes implementation
prips	0.9.9	Print the IP addresses in a given range
privoxy	3.0.23	Advanced filtering web proxy
probatron4j	0.7.4	Schematron validator (use with Java 1.5 or later)
proctools	0.4pre1	pgrep, pkill, and pfind for OpenBSD and Darwin (OS X)
procyon-decompiler	0.5.30	Modern decompiler for Java 5 and beyond.
profanity	0.4.6	Console based XMPP client
proftpd	1.3.4d	Highly configurable GPL-licensed FTP server software
progress	v0.9	Progress: Coreutils Progress Viewer
proguard	5.2.1	Java class file shrinker, optimizer, and obfuscator
proj	4.9.2	PROJ.4, a Cartographic Projections Library
proof-general	4.2	Emacs-based generic interface for theorem provers
protobuf	2.6.1	Protocol buffers (Google's data interchange format)
protobuf-c	1.1.1	Protocol buffers library
protobuf-swift	2.2	Implementation of Protocol Buffers in Swift.
proxychains-ng	4.10	Hook preloader
proxytunnel	1.9.0	Create TCP tunnels through HTTPS proxies
ps2eps	1.68	Convert PostScript to EPS files
psftools	1.0.7	Tools for fixed-width bitmap fonts
psgrep	1.0.6	Shortcut for the 'ps aux | grep' idiom
psqlodbc	09.03.0400	Official PostgreSQL ODBC driver
pssh	2.3.1	Parallel versions of OpenSSH and related tools
pstoedit	3.70	Convert PostScript and PDF files to editable vector graphics
pstree	2.39	Show ps output as a tree
psutils	p17	Collection of PostScript document handling utilities
ptex	v2.0.42	Texture mapping system
pth	2.0.7	GNU Portable THreads
ptunnel	0.72	Tunnel over ICMP
puddletag	v1.0.5	Powerful, simple, audio tag editor.
puf	1.0.0	Parallel URL fetcher
pugixml	1.6	Pugixml is a light-weight C++ XML processing library
pulledpork	0.7.0	Snort rule management
pulseaudio	6.0	Sound system for POSIX OSes
pup	v0.3.9	Parse HTML at the command-line
pure-ftpd	1.0.41	Secure and efficient FTP server
purescript	v0.7.0	Strongly typed programming language that compiles to JavaScript
pushpin	1.5.0	Reverse proxy for realtime web services
putmail	1.4	MTA or SMTP client designed to replace the sendmail command
putmail-queue	0.2	Putmail queue package
putty	0.65	Implementation of Telnet and SSH
pv	1.6.0	Monitor data's progress through a pipe
pwgen	2.07	Password generator
pwnat	0.3	Proxy server that works behind a NAT
pwntools	2.2.0	CTF framework used by Gallopsled in every CTF
pwsafe	0.2.0	Generate passwords and manage encrypted password databases
pxz	4.999.9	Compression utility
py2cairo	1.10.0	Python 2 bindings for the Cairo graphics library
py3cairo	1.10.0	Python 3 bindings for the Cairo graphics library
pyenv	v20150913	Python version management
pyenv-ccache	v0.0.2	Make Python build faster, using the leverage of `ccache`
pyenv-pip-migrate	v20130527	Migrate pip packages from one Python version to another
pyenv-virtualenv	v20150719	Pyenv plugin to manage virtualenv
pyenv-virtualenvwrapper	v20140609	Alternative to pyenv for managing virtualenvs
pyenv-which-ext	v0.0.2	Integrate pyenv and system commands
pyexiv2	0.3.2	Python binding to exiv2 for manipulation of image metadata
pygobject	2.28.6	GLib/GObject/GIO Python bindings for Python 2
pygobject3	3.16.2	GLib/GObject/GIO Python bindings for Python 3
pygtk	2.24.0	GTK+ bindings for Python
pygtkglext	1.1.0	Python bindings to OpenGL GTK+ extension
pygtksourceview	2.10.1	Python wrapper for the GtkSourceView widget library
pylucene	4.10.1-1	Python extension for accessing Java Lucene
pypy	2.6.1	Implementation of Python 2 in Python
pypy3	2.4.0	Implementation of Python 3 in Python
pyqt	4.11.3	Python bindings for Qt
pyqt5	5.5	Python bindings for v5 of Qt
pyqwt	5.2.0	Python bindings for Qwt, widgets for science and engineering
pyside	qt4.8+1.2.2	Python bindings for Qt
pyside-tools	0.2.15	PySide development tools (pyuic and pyrcc)
python	2.7.15	Interpreted, interactive, object-oriented programming language
python3	3.7.0	Interpreted, interactive, object-oriented programming language
q	1.5.0	Treat text as a database
qbs	1.4.2	Qt Build Suite
qca	2.1.0	Qt Cryptographic Architecture (QCA)
qcachegrind	0.7.4	Visualize data generated by Cachegrind and Calltree
qd	2.3.15	C++/Fortran-90 double-double and quad-double package
qdbm	1.8.78	QDBM is a library of routines for managing a database
qemu	2.2.1	x86 and PowerPC Emulator
qjson	0.8.1	Map JSON to QVariant objects
qpdf	5.1.3	Tools for and transforming and inspecting PDF files
qprint	1.1	Encoder and decoder for quoted-printable encoding
qrencode	3.4.4	QR Code generation
qscintilla2	2.8.4	Port to Qt of the Scintilla editing component
qstat	2.11	Query Quake servers from the command-line
